inventor_first_name,inventor_last_name,inventor_id
Bruce E.,Krane,4091929-1
Gregory S.,Giroux,5931432-4
Tung Quang,Le,7110364-1
Dennis C.,Granetzke,3981356-1
John,Matarese,3973545-2
David R.,Skubik,6357900-2
Steven T.,Richardson,7618527-5
Pat,McLeod,8356822-2
Kurt D.,Peterson,7350428-2
Noel H.,Brantley,6518445-1
Jean B.,Myers,6281384-3
David R.,Brownson,5765337-4
Stephen A.,Anasiewicz,8511406-1
Mark R.,Johnston,10055603-2
Daniel J.,Sajkowski,5200060-1
P.,Regunathan,4396512-2
Charles E.,Weisgerber,4106646-1
Mallinath,Bareddy,9821455-1
Teresa M.,Kubiak,4504414-3
Alexa Watkins,Hudnut,9791333-3
Ronald M.,Atlas,3959127-2
Edward J.,Cassidy,5124044-1
Jason G.,Kramer,6909951-3
Andrew,Fegly,6487583-2
Robert C.,Gorman,10092324-3
Oscar S.,Smith,8321147-3
W. Shannon,"Thomas, Jr.",4934998-1
Mark Allan,Nelson,9047640-4
Melody,Hildebrandt,9009827-2
Sean,Scott,7030126-2
Rong J.,Hwang,4871023-2
Thomas V.,Cheon,4965049-3
Charles V.,Dullea,7651988-1
Gerhard H.,Dieroff,4816710-2
Michael S.,Dryden,5094463-1
John William,"Clancy, III",7733104-3
Geoffrey Martin,Hambrick,10127024-2
Xingze,He,9842387-4
Jairo A.,Villamizar,D640175-3
Chuck,Burkett,7269250-1
Jaydeep,Vaghashiya,10034865-3
Todd,Hayden,6140926-1
Steven R.,Hayter,10066452-2
James A.,Weinzapfel Jr.,6988615-2
Steve,Torrioni,D771758-2
Steve,Norling,7787961-3
Perry M.,Humphreys,D341865-1
Frank M.,Fenton,4757884-2
Michael V.,Rutkovsky,4023872-2
Paul P.,Bracaglia,4781641-2
William,Feldman,6634184-1
Jess,Storey,7947311-3
Mark Nicholas,Law,7958228-4
Gary M.,Trocola,5113572-1
Dana G.,Pelletier,8388745-1
Krishnan,Kannan,8223936-3
James J.,Roller,4953197-3
David M.,Ryan,5151335-1
Jimmy H.,Davis,6079810-1
Michael A.,Purvis,9357625-8
Anthony F.,Novalany,7216092-4
Samir S.,Palnitkar,5539680-1
John,Atherton,9647400-1
Cardell I.,Jones,5769440-1
Abraham,Aharoni,5280723-1
Megan,Donahue,9108587-5
Louai,Adhami,7607440-2
Michael L.,Bolton,6470288-2
Thomas W.,Byrne,5295652-1
William R.,Walden,4979380-3
Alva R.,Settle,4502707-2
Robert Joseph,Guido,5727721-3
Tony L.,Casterline,6349266-2
D. Micheal,Jennings,D517833-1
Richard D.,Huss,7799402-2
Anthony J.,Blasio,7139094-1
Denise,Stockland,8170892-6
Kurt D.,Carpenter,4593362-2
John D.,Berlekamp,8184437-1
Orren K.,"Tench, Jr.",4510758-1
David M.,Headley,8980641-4
Joseph C.,"Ellington, III",4833841-1
Ronald J.,Maher,4264495-1
Zeke,Johson,9943161-3
Andy,Yuen,10087490-3
Craig N.,Johnson,4386576-1
Larry A.,Divins,4177241-1
Buckley,Smith,D286590-1
Walter,Karpinia,4417565-1
Philip L.,Blake,5363570-5
James S.,Li,5402075-3
Varosh,Petrosian,D441551-2
Andre,Krauss,4871262-1
Fred,Maestas,7018323-2
Lawrence C.,Fritz,5441870-3
Sandra L.,Solmon,D357340-1
Joshua,Weiner,9431827-2
Leilei,Zhang,6744131-3
Navneeth K.,Singh,8846824-2
William,Jahn,4583289-2
Douglas H.,Kautzer,5546901-3
Marcus,Ganz,9201026-8
Gordon L.,Kettering,5027422-2
Christina,Wight,7725952-1
Kevin,Bondra,D669404-1
Larry G.,Weldin,5974960-1
Timothy A.,McDonough,6486873-1
Eric G.,Rolfe,7619555-1
Vivek,Jindal,9438982-2
Luke,Burke,9631246-10
Frank,Caruccio,4722272-1
Cynthia,Jou,5709997-2
Ronald H.,Garman,4295306-1
Carlos Ruben,Chavez,5921788-4
Dukju,Ahn,9294154-2
Joseph M.,Yuhasz,4332145-1
Surjeet,Paintal,8610356-3
Wen-Ssu,Chiu,7391012-1
Emily Joy,Pritchett,9692423-6
Philip A.,Turek,4712306-5
Adam L.,Smith,6585384-4
William W.,Coleman,4031640-2
Don,Bass,5070850-3
Harry R.,"Wilson, Jr.",7057394-2
Andrew John,Nichols,6005091-5
Fred W.,March,D313339-3
Charles W.,Hearp,4574071-2
Gary A.,Benson,7197844-1
Scott,Schrader,7717242-1
Hooman,Shahidi,5688491-1
Carl L.,Lundvall II,4992698-1
Tony M.,Barton,6743299-1
Russell W.,Roe,5908483-3
John P.,Moore,4532546-3
Zonglu,Hua,7425826-2
Mark,Chaudhary,9317601-2
Peter L.,Schneider,D361108-1
Jay,Bullard,9695665-2
Harry V.,Lehmann,6712423-1
Casey,Frett,D752314-4
Joyce A.,Bibeau,5492976-3
Donald C.,Ries,9993913-2
David M.,Jarrott,4455215-1
Twan T.,Ha,6123502-3
Rosanne H,Tinkler,6621302-3
Joseph M.,Fernandez,4395499-2
Theodore,Chuchanis,4863360-1
Michael,Mathieson,7814097-5
Robert James,DeRosa,7188578-1
Laurie,Cairns,6173267-1
Thomas Charles,Hewson,8047159-1
Annette L.,Pappas,5713081-1
Frank C.,Trayer,4170000-1
Gayle,Cross-Combs,D313869-2
Robert,Misley,5857499-2
Jared Scott,Miniman,9031877-2
Cornelius,Geer,9576323-3
Frank Leslie,Smiddy,10138845-2
William J.,Mitchell,5301114-1
Jeffrey A.,Chase,5588237-1
Mary L.,Shoun,5465975-2
John,Dermody,6888466-1
Brian Carter,Jones,9353757-1
Hsu,Yu-Nu,7153717-3
Richard L.,Mouser,7856489-1
Nicholas,Connor,8313209-1
Ross T.,Gault,6877927-2
Maurice A.,Reuther,3958618-1
Xiaohong,Shen,9387208-3
Michael F.,Cipriani,8442873-2
Donald G.,Engstrom,4166318-1
Victor,Mascolo,7566057-1
Penghui,Chen,6462038-6
Yihong,Li,5629325-5
Jiyeun,Kim,7514531-3
Sanjay,Dandia,5691568-2
John P.,Burgarella,4085414-1
Gary M.,Pageau,5396074-2
Susan A.,Wernl,4533764-3
Bruce A.,Schroeder,5329888-2
Matheus,Bulho,9651941-12
Stephen,Maebius,8530735-1
Budd L.,Proctor,4416260-1
Utpal Mahesh,Koppikar,6354741-2
Franklyn,Dontfraid,D729542-1
Kenneth L.,Hasstedt,4634169-1
Paul M.,Morgan,4511090-1
Steven A.,De Chiaro,7385768-2
William J.,Tuohy,6947998-3
Carolyn M.,Boldt,7550689-2
Charlie W.,"Trussell, Jr.",4272164-1
Richard Alan,Williams,6132792-2
James W.,Getz,8203207-1
Kayren Joy,Nunn,7585390-1
Ronald D.,Harris,5593702-1
Beulah,Murrill,D403883-1
Rebekah Anne,Allen,8625769-2
Kyle H.,Wang,9803412-2
Scott J.,Daigle,8827544-7
John J.,Montferret,D302589-2
James E.,Groat,3935980-1
Louis T.,King,8371288-1
Eric,Hiltke,6966447-1
Vojislav,Narancic,D734953-1
Stephen G.,Lee,7720216-2
Dmitri,Shtilman,7873952-1
Elmer W.,"Breder, Jr.",4305810-2
Bo,Wu,9577593-2
Paul H.,Boileau,5252062-4
David R.,"Smart, Jr.",5690127-2
John B.,Posthill,6552295-2
David J.,Gosztola,8922094-3
Donald E.,Shelhamer,5772872-1
David,Shepro,5278143-1
Tae Hong,Joo,5951483-1
Stephen W.,Foster,4182433-1
Rudolph A.,Wuttke,4054349-1
Sammy K.,Wallen,5472301-1
John Edward,Reilly,8324264-5
Geroge D.,Hessenthaler,5020228-1
Ethan G.,Holder,9082413-2
Scott A.,Bradley,9557146-1
Julia,Reid,7195873-2
Robert M.,Waldron,5830034-3
Sharon R.,Grzybowski,D718815-2
Moise,Riboh,4837382-3
Graham,Alvord,9347270-2
John R.,Slater,4122954-1
Lawrence D,Metcalfe,6509551-1
Danny S.,Foster,4455009-1
Kurt W.,Donsbach,5587191-1
Ismail F.,Middien,4820450-2
William J.,"Talbot, Jr.",4269540-3
Gregory T.,Hart,8909484-4
John J.,Nardella,9140718-2
Daniel F.,Wright,6415357-1
William G.,Schmidt,5026562-1
Alan M.,Paris,6436339-2
Jed W.,Zenko,6595556-1
Yong,Kang,10064105-2
John V.,Harmeyer,9687401-2
Bibiano P.,Costello,4904950-3
John G.,Speer,5552235-2
Israel,Pycher,D349731-3
Poul,Petersen,9576246-4
Joel S.,Crosby,4583517-2
Kyle,Fricke,7846224-2
Douglas,Shulte,6857371-2
Jerome Francis,Jaksha,5367933-1
Benjamin A.,Baldwin,9514254-2
Dale Alan,Zoetewey,6823807-6
Chao-Chen,Chen,6273852-2
Robert Henry,Morelos-Zaragoza,6081920-1
Henry Howard,George,4049356-1
Gerald T.,Ecker,D484615-1
Richard H.,Eskridge,7808353-1
Jos R.,Capriles-Gran,9853809-2
Edward,Golubovsky,7713390-1
Xing L.,Shen,5171194-1
Stephen L.,Pettegrew,D444873-1
Dong-Ming,Shen,5268513-1
Daniel G.,Dahlke,6413780-5
James K.,Stockwell,4912924-1
Peter J.,Mirrasoul,4269939-3
William H.,Kenney,4656686-2
Paul D.,Yeoman,10035606-3
Erwin,Himawan,8438388-2
Kenneth,Steinman,D344318-1
David D.,Zhang,5516583-1
Gordon L.,Archer,6028051-2
Paula L.,Price,7115324-3
Sharon S.,Whipple,4062853-2
Robby J.,Gaspard,D663234-1
John W.,Davern,4060189-2
David,Cooke,6926725-1
Gregory I.,Eydelman,5050605-1
Larry V.,Dalton,5474168-2
Randy,Draginis,7360342-2
Anton G.,Salecker,5440720-8
Charles Louis,"Schmidt, V",6254522-1
Jeremy G.,Opperer,6853925-3
Igor,Ostrovskii,8344588-1
Mark P.,Bear,5926844-1
Virginia K.,Capps,6571189-3
Randy A.,Mazzocchi,5766706-2
Brodus E.,Caffall,4491567-4
Sharon M.,Tebbe,D364675-1
Christopher A.,Cripe,4276968-2
Joann Marie,Stallings,6814086-1
John Dinn,Mann,8601089-2
Richard W.,Wilson,9527780-1
Karl H.,Puechl,3966550-3
Andris,Jaunberzins,7766657-1
Ja-Hum,Ku,10014304-2
Godson O.,Osuji,5830459-2
Larry D.,Reid,5366990-1
Mitch,Gibler,7014411-3
Richard E.,Ellis,4959810-2
Mahmoud,Khalil,10079437-2
Joel T.,Pyper,10035180-2
Georges O.,Rouleau,5282403-1
Larry J.,Canada,4875792-1
Aaron G.,"Dawson, III",6826520-2
RaghavendarRao,Kota,9439169-2
Kenneth,Kaliski,7092853-3
Alexander J.,Smolenski,5374866-2
Arne A.,Johnsen,4163470-1
Alexi,Kondratyev,5502037-1
William B.,Hall,8142337-1
Kevin Bret,Wright,9174984-6
Joseph J.,Yuran,5384975-1
Alan E.,Burnette,6751981-1
Loretta Graves,McNatt,7033755-3
Robert G.,Gleeson,4889571-3
Kirsten,Hildrum,7738129-5
Steven E.,Byrne,5115870-1
Patrick G,Maloney,5111477-2
Kenneth G.,Hubert,4937177-1
Weichin Lo,Hsu,8996657-3
Robert,Clark,7895676-1
Victoria,Interrante,8457371-10
Gerald G.,Brueckner,4216600-1
Huw Rowland,Tanner,8987457-7
Yuri Alexeyevich,Plotnikov,6707297-4
George,Watson,5915336-1
Carla M.,Suto,5932618-1
Craig D.,Scoville,9816989-1
Joel S.,Rose,5963920-1
Susanta Kumar,Sarkar,7324119-3
Troy,DeMaster,6947382-4
Andrew Ivar,Erickson,7899862-3
H. E.,Waldenmaier,5159408-1
Charles M.,Campbell,4345997-2
Raphael,Nudelman,5473103-2
George Howard,Robbins,7714305-4
Ryan Brady,Anderson,10028004-1
Vitalii K.,Vlasko-Vlasov,6972562-1
Kevin Lee,Luman,9363239-1
Mark,Ullmann,6027620-2
Russell Scott,Foxhall,4775593-2
Karla J.,Hulett,8204779-10
Steven,Clark,5844176-1
Marc A.,Boulanger,7487542-1
Robert M.,Sayre,4254102-3
Gerald L.,Steele,D263995-1
Paul,Albrecht,6827537-3
Jerry R.,Cravens,8128132-1
Kenneth J.,Markowitz,5589159-1
Gregory Allen,Kramer,6918291-5
Jakub,Sendor,9112851-2
Steven L.,Broughton,D354754-1
John H.,Stevens,10047882-1
Alan G.,Letki,5653673-3
Judith A.,Kintner,5227187-4
Constantine Nicholas,Tsioras,6243456-1
Venkata R.,Pappu,5020747-2
Shuliang,Li,7119630-1
J. Douglas,Richardson,8210725-5
Robert J.,"Mishica, Jr.",5117221-1
Raphael,Slepon,9229876-1
Valery,Normand,8088403-2
Steven N.,Tressler,5239838-1
Paul Maurice,Gunsch,7237259-2
Charles D.,Pugh,4311000-2
George W.,Reinke,4275655-3
Todd A.,Walls,6274957-4
Bernard F.,Liquie,3958526-1
Clement D.,Wang,8628475-1
Steven,Kirchnavy,5728289-1
Donald R,Brock,9746126-1
Clinton L.,Percy,7357766-3
Ted L.,Beaver,5702033-1
Jerold L.,Botts,9933105-1
Gary Lee,Champion,6458268-2
Christopher,Hillyer,7296541-3
Rod,Berube,6623492-1
Alfred R.,"Howard, Sr.",4790075-1
Marco Antonio Marquez,Gomez,8165967-1
Wang,Yanmin,6971340-3
Joseph L.,Spychalski,4271777-2
Chandra Mouli,Ravipati,7319692-5
Gregory J.,Daniels,5046271-1
Charles M.,Zalinski,5339368-5
S. John,Louisnathan,5812260-1
Barry Michael,Daggett,6435910-2
Jim,Sandman,6035396-3
Alex E. S.,Green,4561364-1
Kevin P.,Crowe,5352398-1
Frank D.,Cairns,4445690-1
Brian M.,Flynn,6027433-1
William S.,Speck,6315485-1
Brian S.,Caffro,7948343-3
Michael,Peters,D772087-15
Johannes Theodorus,De Jong,4701477-2
Marc,Tolkoff,4654036-1
Nongqiang,Fan,6411087-1
Donald R.,Sauer,4122401-1
Susanne M.,Gollin,8173366-1
James B.,Starr,4166264-1
Thomas J.,Banski,4288246-1
Mark A.,Parenti,10108517-4
Robert E.,Nunn,4145375-2
Linnus,Cheruiyot,8173622-3
Mark,Webster,D653736-2
Maryam,Ashoori,10042874-1
Sunil,Tholpady,7410797-2
Raymond B.,"Bragg, Jr.",9658848-1
Joseph L.,Hughes,4397278-1
Brian G,Lefebvre,8647850-4
Ryan S.,Mackie,H002268-2
Vincent,Gheraldi,9960992-5
Dana R.,Reed,9657193-7
Timothy D.,Spegar,7568464-1
Robert M.,Fry,4443358-1
Whitney,Blake,6114963-1
Pamela K.,Fletcher,D422818-1
Warham Lance,Martin,9783571-1
Chad A.,Bjorklund,6919809-5
Kenneth J.,Kruizenga,5544541-1
Carol L.,Brack-Kaiser,5146659-2
Joseph G.,Steinbrunner,5178820-3
Joseph R.,Voland,6225525-3
Michael A.,Hobson,8302948-1
Dmitri,Starodub,8272576-5
Nathan Shaughn,Turner,9530318-1
Wayne T.,Wellinsky,5108306-1
William Mark,Bohon,4965052-2
Thomas H.,Smith,4167374-1
Frank J.,"Riha, III",4000776-2
Kevin R.,Pyles,D536260-2
Patricia E.,Hareski,5862338-4
Oscar P.,Pinto,10108450-1
Bohdan O.,Hreschak,4447447-1
Seamus,Fahey,9650787-4
Henry C.,Yee,4311986-1
Larry Emmanuel,Kekempanos,7118112-2
Turgay,Erturk,5460052-1
Chi Leung,Lau,10024969-1
Winston G.,Pottle,4616921-2
Steven Patrick,Blay,8152618-1
Thomas G.,Elphick,4510909-1
Sheila W.,Goad,5758126-2
David R.,Gormley,D296902-1
Gary L.,Leisure,5903952-2
Homer E.,Richer,5628797-1
Laurie A.,"Soderbom, Jr.",9333003-5
Lili,Qiu,7096200-5
Walter L.,Brim,5022420-1
Scott R.,Stafford,8620686-2
Francis L.,Paulson,5893078-1
Mark Alan,Hartwell,9061772-1
Tanya M.,Jacobs,D720990-1
Andras,Toro,5241063-1
Edmond B.,Treacy,4260957-2
Matthew E.,Mariscal,7830816-4
Hadley,Bloomquist,8210130-1
George C.,Doescher,4521140-1
Malcolm H.,Davis,4766295-1
Rene R.,Rice,5056461-1
Donald J.,Greer,4063373-1
George H.,"Purcell, Jr.",4990922-5
T. Paul,Gleeson,5152545-3
Chester A.,"Hall, Jr.",4463048-2
Zhe,Wang,6015912-1
Richard W.,Anderson,6776935-1
Richard L.,Andes,5453695-2
Daniel P.,Connors,5341302-1
Matthew S.,Weeda,7909482-3
Howard,Frank,D675721-1
Marcia L.,Greenquist,5413294-1
Roberto,De la Rosa Santamaria,9476040-2
Dale A.,Gilbert,5797189-1
Tokuaki,Nakazawa,5366803-1
Joseph,Csapilla,5414094-1
Mark,Wardrup,6696814-3
James D.,Gabbard,4243571-1
Masood H.,Razvi,4107452-1
Shivang Rajendra,Dave,9772282-2
Donald S.,Jungles,4342402-1
Patrick A.,McFadden,4403919-2
Guangming,Huang,9184036-3
Kevin,Purser,6977938-3
James R.,"McCarthy, Jr.",3969532-1
William S.,Hutcheson,6781142-1
Walter E.,Kennard,4535796-2
Sara,Termini,9738181-1
Eric J.,Obermeyer,6623416-3
Minsheng,Li,8179194-1
John J.,Charles,4111893-2
Kevin Brent,Howard,9576174-1
Thomas,Roberts,7786438-9
Ou,Chen,10086094-3
Edward F.,Noggle,5087216-1
Timothy C.,Strueh,4429708-1
Stephen H.,Kaminiski,5131717-1
Paul L.,"Wachendorfer, Sr.",4156625-1
Leon A.,"Williams, Jr.",4122712-2
Robert John,Richey,8215111-1
Akshay,Verma,8540871-2
Adel O.,Sayegh,6226839-1
Mark,Nygren,7377564-3
Thomas W.,Stross,6148475-1
Jiongxin,Liu,9349076-1
Rickey W,Chester,5964468-1
Budd,Steinhilber,4731511-1
Wang,Wu,8475657-1
Miklos,Boni,3965498-1
Esther M.,Zimmermann,5356993-4
Fred R.,Cohen,4696029-1
Kurt G.,Shelton,10004521-1
Joseph O.,Smith,5598321-2
Michael,"Abernethy, Jr.",7508450-1
Donald E.,Nelson,8417636-6
Richard A.,Rampulla,4939137-2
Patrick G.,Hecht,4886913-2
Robert F.,Savinell,4370392-1
Christopher A.,Corey,D742593-1
Paul,Pratt,7563537-1
Kenneth,Nishihara,7571439-2
Thomas J.,Cross,10122760-2
Elliott,Sloan,D328442-1
Carl J.,Franken,7568359-8
James F.,Arnold,3931670-1
Jaclyn,Radewitz,7672113-2
Nirm Velumylum,Nirmalan,10094714-7
Emy,Tan,6554470-3
Shafiqul I.,Siddiqui,5801537-1
Yikang,Li,7028000-1
Vernon H.,Wilkins,4016075-1
James E.,Conant,3951174-1
Kun-Jian,Gu,6465395-2
Iulius Vivant,Dutu,6727800-1
Michael P.,Taylor,4627749-2
Morton A.,Westman,4061602-2
Larry A.,Adams,5967708-1
Charlotte,Feldman,7073548-2
Curtis H.,Hallstrom,4064282-1
Benjamin E.,Nick,6883118-3
Philip J.,Whalen,4853353-1
Robert R.,Kyle,6016304-1
Gordon,Payne,8315362-1
Marcelino,Burgos,D348762-1
Jiun-Tlng,Lee,10109304-3
James P.,Blackwell,7311178-1
Leo L.,Wisseman,3986174-1
Darrell,Lancaster,8354132-5
Brian J.,Cornell,4742795-2
Lai-Chee,Man,6215306-2
Roland J.,Turner,4229823-2
David J.,Wilson,8095999-1
Bernard,Frank,4621641-1
Vikas,Bhatia,7523985-1
Paul John,Peterson,6764143-1
Joseph Zu,Sun,4064296-5
Glen E.,Grant,4818398-2
Joshua,Robbins,8409351-1
Eric J.,Webb,9475514-4
Xavier B.,Budnicki,4223652-1
Cera Elizabeth,Crockett,8757456-3
Neil,Sinclair,9802633-3
Steven J.,Leary,10088077-1
Larry P.,Atkins,4122890-1
Christopher E.,Gardner,7677210-4
Leonel Ochoa,Arellano,7980069-1
Richard Servern,Johnson,4050568-2
Christopher H.,Harmston,D631558-1
John A.,Laine,6935910-1
Stephen R.,Freund,5953941-1
Ryan Paul,Lively,8133308-1
Jonathan Michael,Martin,10067360-2
Ajit K.,Mishra,5344494-2
Gary Edward,Zack,6876163-1
Stanley M.,Coulter,4572484-1
Jimmie M.,Bogart,4665564-1
Dennis Eugene,Reese,4081453-2
Brad,Babineaux,D629391-6
Carl Robert,Huster,6225229-1
Mills L.,Fleming,4310209-1
Gabriel M.,Tarr,7353429-3
Raymond A.,"Martino, Jr.",5272323-1
Paul Edward,Noble,4746981-3
Farzana,Noorzay,8713157-3
Bradford J.,Perry,6150771-1
Lisa J.,Gruenberg,5690646-1
Bruce,Jagid,5682142-3
Gregory M.,Yukna,7650322-3
David R.,Kiesel,4965135-3
Jerome L.,Golby,4137958-1
Betty D.,Drake,D268133-1
Craig S.,Reichert,7905101-2
Marina Ellen,Marinella Pavlatos,7422611-1
Douglas N.,King,5350108-4
Meelan M.,Choudhari,8695915-3
Mark Randall,Mooneyham,6380950-4
Abiyu,Negede,10141744-5
Jesse R.,Modica,7998040-2
Michael J.,Osborn,9211973-1
William R.,"Foland, Jr.",5412669-1
Oswald,Baasch,10072773-1
Jed W.,Bodily,8272279-3
David B.,Novak,10112405-5
Gary G.,Germunson,4619104-1
Steven E.,Marzec,5586540-1
Alva L.,Frye,4138027-1
Terence J,McGrath,9907406-1
Michael David,Repp,7793323-3
Rochelle,Lee,D799306-1
Robert N.,Cochran,4398041-1
Karl,Rosaen,10007960-7
George,Sandy,D289501-1
Robert M.,Graham,4026586-2
Gary J,Bonvillain,6244614-1
Antonio A.,Albano,6350786-1
Balreddy,Kamireddy,5593969-1
Robert G.,Abbott,D384286-1
Kenneth J.,Rife,D388468-1
Constantine,Sokoloff,9026470-3
Guido A.,Salvato,4390038-1
Lauren T.,Moffatt,10078897-3
William L.,Schumacher,3963319-1
James,"Baxter, III",7983601-2
Michael,Natchus,10016408-4
Ronald N.,Cotman,4316120-1
George Frederick,Walker,5660921-7
Matthew R.,Herst,9938799-3
David M.,Casale,9427909-1
Mark W.,Junis,5950750-3
Richard F.,Graves,4331352-1
Matthew John,Nethercott,9995801-2
Melissa Anne,Lum,5695766-5
Albert,Chua,10120423-5
Frederic Hilaire,"LePrevost, Jr.",4792129-1
Blair Thomas,Wheadon,7757161-1
Allen H.,DeSatnick,4372095-1
Norman L.,Henderson,4409843-2
Stephen V.,Benson,5010555-2
Zhiyuan,Yan,9059832-2
Peter Lewis,Ebbitt,5753904-2
Andrew,Garrood,8342946-2
Oliver,Hsu,7629299-4
Igor,Bacik,5733548-4
Mary E.,Kay,5263629-2
Richard,Seibert,7882024-1
Paul F.,Consroe,4758597-2
Alan J.,Burgheimer,D243070-1
Christopher L.,Kowalk,10106201-1
Cynthia D.,Carter,7958586-1
Thomas J.,Zenobi,4470565-1
Todd Laurence,Underiner,6066673-2
Cory S.,White,D552074-4
Ryan Leroy,Breehne,7736688-3
Brett W.,Wells,5832645-1
Ross,Crowley,5816540-2
David,Corey,7967214-2
Mahmuda,Afroz,7424176-4
Mark L.,Lambros,7434826-1
James E.,Maxeiner,D263287-1
Florindo F.,Dal Pan,4010690-2
Eric S.,Nakayama,7621063-3
Alberto Jose,Negroni,10100747-1
William A.,Shaw,8491680-1
Tae-Sik,Kang,7288154-1
Andrew,Harmata,9801946-5
Joseph J.,Rupp,6122952-3
Alan C.,Hurkamp,5887176-2
Scott,Baker,8719972-2
Vernon C.,Haskell,4376183-1
Claire Tierney,Vadney,8521646-3
John Joseph,Ball,6011522-2
Darryll J.,Pines,6938853-1
Terriann,Hilbinger,D589706-1
Shyam,Surthi,7223628-8
Joseph A.,Fuggini,5935407-3
Sunil,Katragadda,9562604-1
Brian K.,Showers,10127766-1
Frances Janney,Case,6686021-1
Saroj K.,Vohra,9336207-4
David W.,Williams,8209791-1
Rodney A.,Simmons,6049754-5
Li-Shun,Wang,6841470-1
Sheila,Brown,D558840-1
Riley E.,Asay,5250616-1
Robert L.,"Neidlinger, II",10040477-3
Tjado V.,Namen,4867584-3
Lloyd S.,Hellman,5292167-1
Deng,Li,8731916-1
Paul G.,Otanez,10047860-6
Mark Miles,Hart,10102382-1
Alonzo C,Glover,D467282-1
Zeying,Ren,10134984-4
Shawn A.,Oakes,5377862-1
Michael L.,Spencer,4576238-1
Navendu,Sinha,8127113-1
Sussan P,Ivey,D487166-1
Joseph,Springer,4687437-1
Amit D.,Shah,10006084-3
Gregory L.,Jay,8613181-1
James Michael,Foley,7989402-2
Jerome,Guionnet,8116326-4
James W.,Swenson,4479862-1
Diana R.,English,D472083-2
Jay W.,Lee,D804296-1
Joshua,Hagen,8575069-3
Michael J.,Hanson,10056840-1
Charlotte L.,Allen,7001633-2
Eslie O.,Barlow,5551452-1
Nelson R.,Lazear,4077859-3
Douglas C.,Gray,D412021-1
Richard A.,Creager,4164093-3
David C.,Ludwigson,4099408-1
John Sherwood,"Reynolds, II",10129270-4
Jeffery S.,Kuzmuk,4919373-2
David Jack,Hanono,6106869-2
Gregory P.,Mahoney,4899196-1
Brian Dean,Rasmussen,6834795-1
Lewis N.,Zeller,9125752-1
James R.,Nero,6666660-2
Gary,Gutterman,4282817-1
Michael Timothy,Moore,6481001-1
Chan-Hong,Chern,10050621-1
Maurits J.,Van Beveren,D361033-1
Diana L.,Marquez,5864784-4
Joseph H.,"Aldstadt, III",5641686-1
Randall L.,Havel,6502649-1
Dylan,McCreedy,8361041-3
Monty,Kiel,4666157-5
Valentine G.,"Feret, Jr.",3953045-1
Michael J.,Bryan,D687612-1
Alex,Borsody,7306827-3
Vincent E.,Burkhart,5656093-1
Robert B.,Blizard,4415998-1
Antonio Marroig,Martinez,7216262-1
Floyd J.,Abbott,4908676-4
Claire,Ni,9720834-4
Howard A.,Wilcox,4047795-2
Jason Robert,Vogel,9868648-1
Jonathan R.,Bachrach,10054932-1
Terry L.,Shepherd,5776188-1
Natalie A.,Christensen,8695133-1
Michael Alec,Sluyski,6195764-2
Gail A.,Robertson,7510874-1
Sibylle,Herzer,7655793-1
Jason,Jeffay,9114311-3
Michael,Alexander,10006315-2
Vadim V.,Krongauz,6246824-2
James R.,Wilson,4026974-2
Hendrik W.,Lundquist,3974802-1
Ramesh,Bapat,6409473-3
Robert,Meitzler,8516934-3
Gerald D.,Monson,5077785-1
Per-Erik,Danielsson,4170003-1
Linda L.,Turner,D290810-2
Baha Tulu,Tanju,10119616-1
Walter,Pompei,5105752-1
Robert,Szumlakowski,9923887-7
Danny J.,Cline,6267063-1
John J.,Gniewek,4135998-1
James,Zeanah,5933816-1
Tajinder,Gadh,9792578-2
Charles M.,"Harrigan, Jr.",6049913-1
Leon A.,Frizzell,4549533-2
Cameron,Robertson,10059436-1
Stephen Franklin,Capps,7000437-4
Ross R.,Harrison,3942712-2
Zolton,Blac,8493267-4
Warren J.,Null,9833364-1
Audrey,Bell,9889281-2
Ralph S.,Quatrano,5139954-3
Edward J.,Simon,5203109-1
Daniel J.,Potter,6632200-3
Paul,Generowicz,7296831-1
Michael L.,Schneider,4931932-2
Zorro,Ruben,4435131-1
Adam P.,Dunn,7913862-4
Peter C.,Prust,7695069-1
Donald K.,"Jessie, Jr.",8262114-1
Pradeep S.,Iyer,6541098-3
Earle F.,"Philhower, III",6732203-5
Praveen,Alexander,7877524-4
Michel,Gerspacher,4143209-1
Francis Edward,O'Brien,5920552-3
Lucien,Bourbeau,D826490-2
Ivan R.,Leatherman,4181626-1
Phil,Algreen,8342775-2
Jeffrey,Loth,6709684-1
Robert,"Habermehl, Jr.",4539761-1
Rocco J.,Albanese,4715279-1
Todd James,Harris,8802154-1
Teresa,Barnes,8253012-3
Elio,Roman,9220246-1
Gil,Balaoing,8661079-3
Kelly S.,Smith,7136326-1
Sylvester L.,Woodland,4249660-1
Don H.,Rowe,4115828-1
Samuel D.,Chafetz,D799149-1
Ken,Lester,7104271-2
Maxim,Loktyukin,8738893-9
Lucious,White,5886952-1
Zhaoyang,Sun,7673241-1
Richard D.,Lenz,8974576-3
Robert K.,Smith,3930874-2
Edward H.,Christian,4031440-1
David Richard,Marquardt,5892753-2
Nolen C.,Blake,4400131-1
Fred F.,Haefner,4142422-1
Clarence S.,Rankin,4442782-2
David A.,Kirby,10094169-1
Arnold W.,Evdokimo,7596828-1
